CustomerID,Region,SignupChannel,AnnualRevenue,ServicePlan,Churned,TenureMonths
1001,South,Sales,64599.26,Standard,0,19
1002,West,Email,91967.61,Premium,0,32
1003,Northeast,Sales,93792.17,Basic,0,30
1004,South,Web,63569.46,Standard,0,29
1005,South,Email,140973.24,Basic,0,45
1006,West,Web,99214.99,Standard,0,29
1007,Northeast,Email,49260.9,Basic,0,30
1008,Northeast,Email,104696.61,Basic,0,16
1009,South,Referral,55759.55,Basic,0,40
1010,Midwest,Web,108612.54,Standard,1,19
1011,South,Sales,119757.87,Standard,0,18
1012,South,Sales,,Standard,0,1
1013,South,Web,113901.28,Premium,0,14
1014,South,Sales,97383.43,Standard,0,47
1015,West,Sales,109661.8,Basic,0,2
1016,Northeast,Web,141903.79,Premium,0,28
1017,West,Email,77638.36,Basic,0,30
1018,West,Web,62387.92,Premium,0,38
1019,West,Email,58314.57,Basic,0,4
1020,South,Sales,60525.69,Premium,1,1
1021,Midwest,Sales,82686.95,Basic,0,8
1022,Northeast,Sales,95234.56,Premium,0,29
1023,Midwest,Referral,93300.72,Standard,0,39
1024,West,Email,109815.5,Premium,1,3
1025,West,Referral,,Basic,0,32
1026,Midwest,Referral,128606.02,Standard,0,10
1027,Midwest,Web,77060.3,Premium,1,10
1028,Midwest,Referral,166605.07,Standard,1,19
1029,West,Web,103770.02,Standard,1,46
1030,West,Web,59285.27,Standard,0,34
1031,Northeast,Referral,52873.23,Standard,0,33
1032,Northeast,Email,99474.17,Standard,0,23
1033,West,Email,78296.12,Standard,1,28
1034,Midwest,Email,106420.01,Premium,0,32
1035,Midwest,Email,,Basic,0,7
1036,Northeast,Email,82815.13,Basic,0,29
1037,West,Referral,59596.19,Premium,1,8
1038,Northeast,Referral,39554.58,Premium,0,1
1039,Northeast,Sales,,Standard,0,3
1040,South,Email,110691.96,Standard,0,24
1041,South,Referral,91422.81,Basic,0,23
1042,South,Sales,47627.84,Basic,0,8
1043,Midwest,Email,90195.43,Standard,0,47
1044,West,Web,96559.52,Standard,0,37
1045,West,Sales,58484.28,Standard,0,3
1046,West,Referral,89611.75,Basic,0,33
1047,West,Web,86746.26,Premium,0,28
1048,South,Web,50710.89,Premium,0,47
1049,Midwest,Web,95733.62,Standard,0,8
1050,Midwest,Sales,101823.54,Standard,0,34
1051,South,Referral,117491.54,Standard,0,35
