County & State,County,State,latitude,longitude
Luzerne CountyPA,Luzerne County,PA,41.1404353,-75.9927652
Lycoming CountyPA,Lycoming County,PA,41.2720004,-77.1024902
Lyman CountySD,Lyman County,SD,43.9016694,-99.8124935
Lynchburg cityVA,Lynchburg city,VA,37.4148819,-79.1422071
Lynn CountyTX,Lynn County,TX,33.1446401,-101.7979613
Lyon CountyIA,Lyon County,IA,43.3954333,-96.1526985
Lyon CountyKS,Lyon County,KS,38.4078037,-96.1526985
Lyon CountyKY,Lyon County,KY,37.0247261,-88.0900762
Lyon CountyMN,Lyon County,MN,44.3981292,-95.8987139
Lyon CountyNV,Lyon County,NV,38.9524739,-119.1390642
Mackinac CountyMI,Mackinac County,MI,46.023372,-84.9963081
Macomb CountyMI,Macomb County,MI,42.7168759,-82.820974
Macon CountyAL,Macon County,AL,32.3731182,-85.684578
Macon CountyGA,Macon County,GA,32.3523607,-84.059029
Macon CountyIL,Macon County,IL,39.8949055,-89.0179332
Macon CountyMO,Macon County,MO,39.871344,-92.539603
Macon CountyNC,Macon County,NC,35.1197519,-83.336188
Macon CountyTN,Macon County,TN,36.4983882,-85.971322
Macoupin CountyIL,Macoupin County,IL,39.2375268,-89.9253233
Madera CountyCA,Madera County,CA,37.251926,-119.6962677
Madison CountyAL,Madison County,AL,34.7239731,-86.4996546
Madison CountyAR,Madison County,AR,35.9466415,-93.6623239
Madison CountyFL,Madison County,FL,30.4586334,-83.5070203
Madison CountyGA,Madison County,GA,34.0990245,-83.2077645
Madison CountyIA,Madison County,IA,41.2922367,-93.9878427
Madison CountyID,Madison County,ID,43.7508332,-111.5583742
Madison CountyIL,Madison County,IL,38.9041402,-89.9253233
Madison CountyIN,Madison County,IN,40.1469349,-85.684578
Madison CountyKY,Madison County,KY,37.7143001,-84.3121264
Madison CountyMO,Madison County,MO,37.5528602,-90.3748354
Madison CountyMS,Madison County,MS,32.6729459,-90.0373201
Madison CountyMT,Madison County,MT,45.466729,-111.8865015
Madison CountyNC,Madison County,NC,35.8237518,-82.6915429
Madison CountyNE,Madison County,NE,41.9108264,-97.5247243
Madison CountyNY,Madison County,NY,42.9805975,-75.8069082
Madison CountyOH,Madison County,OH,39.9154985,-83.3789389
Madison CountyTN,Madison County,TN,35.6479574,-88.864698
Madison CountyTX,Madison County,TX,30.9888479,-95.940971
Madison CountyVA,Madison County,VA,38.3804062,-78.2575035
Madison ParishLA,Madison Parish,LA,32.4401578,-91.2891036
Magoffin CountyKY,Magoffin County,KY,37.730555,-83.0361376
Mahaska CountyIA,Mahaska County,IA,41.329588,-92.6983868
Mahnomen CountyMN,Mahnomen County,MN,47.3811737,-95.797516
Mahoning CountyOH,Mahoning County,OH,40.9871753,-80.7214417
Major CountyOK,Major County,OK,36.3479671,-98.5281613
Malheur CountyOR,Malheur County,OR,43.21716,-117.5791892
Manassas CityVA,Manassas City,VA,38.7512726,-77.4706769
Manassas Park City,Manassas Park City,VA,38.7840035,-77.4697111
Manatee CountyFL,Manatee County,FL,27.4799195,-82.345189
Manatí MunicipioPR,Manatí Municipio,PR,18.4204876,-66.4866733
Manistee CountyMI,Manistee County,MI,44.4162493,-86.3376761
Manitowoc CountyWI,Manitowoc County,WI,44.1438879,-87.460397
Marathon CountyWI,Marathon County,WI,44.850452,-89.8505012
Marengo CountyAL,Marengo County,AL,32.2459085,-87.7763333
Maricao MunicipioPR,Maricao Municipio,PR,18.1809934,-66.979206
Maricopa CountyAZ,Maricopa County,AZ,33.2917968,-112.4291464
Maries CountyMO,Maries County,MO,38.1738674,-91.949021
Marin CountyCA,Marin County,CA,38.083403,-122.7633036
Marinette CountyWI,Marinette County,WI,45.3581961,-88.0649606
Marion CountyAL,Marion County,AL,34.0441174,-87.7763333
Marion CountyAR,Marion County,AR,36.3194702,-92.6983868
Marion CountyFL,Marion County,FL,29.2787765,-82.12784
Marion CountyGA,Marion County,GA,32.328102,-84.5222189
Marion CountyIA,Marion County,IA,41.3173818,-93.1779659
Marion CountyIL,Marion County,IL,38.7313284,-88.864698
Marion CountyIN,Marion County,IN,39.83619,-86.1751759
Marion CountyKS,Marion County,KS,38.349424,-97.179026
Marion CountyKY,Marion County,KY,37.585137,-85.2308414
Marion CountyMO,Marion County,MO,39.8464028,-91.637215
Marion CountyMS,Marion County,MS,31.1708442,-89.7755338
Marion CountyOH,Marion County,OH,40.5518645,-83.1220074
Marion CountyOR,Marion County,OR,44.8446393,-122.5927411
Marion CountySC,Marion County,SC,34.0879705,-79.3352899
Marion CountyTN,Marion County,TN,35.0928512,-85.643487
Marion CountyTX,Marion County,TX,32.7780679,-94.356513
Marion CountyWV,Marion County,WV,39.5288627,-80.2321313
Mariposa CountyCA,Mariposa County,CA,37.5127928,-119.8815203
Marlboro CountySC,Marlboro County,SC,34.5582435,-79.6951103
Marquette CountyMI,Marquette County,MI,46.644579,-87.5593823
Marquette CountyWI,Marquette County,WI,43.865322,-89.3226954
Marshall CountyAL,Marshall County,AL,34.3652297,-86.3376761
Marshall CountyIA,Marshall County,IA,42.0407088,-92.9375739
Marshall CountyIL,Marshall County,IL,40.9972934,-89.3606298
Marshall CountyIN,Marshall County,IN,41.303028,-86.3376761
Marshall CountyKS,Marshall County,KS,39.717719,-96.4929797
Marshall CountyKY,Marshall County,KY,36.8573767,-88.4016041
Marshall CountyMN,Marshall County,MN,48.365352,-96.674424
Marshall CountyMS,Marshall County,MS,34.7729491,-89.4742177
Marshall CountyOK,Marshall County,OK,34.0103349,-96.7922355
Marshall CountySD,Marshall County,SD,45.7271214,-97.6046235
Marshall CountyTN,Marshall County,TN,35.4792517,-86.7818523
Marshall CountyWV,Marshall County,WV,39.8926818,-80.6770787
Martin CountyFL,Martin County,FL,27.0804935,-80.4103957
Martin CountyIN,Martin County,IN,38.6937856,-86.8220341
Martin CountyKY,Martin County,KY,37.7833756,-82.5185837
Martin CountyMN,Martin County,MN,43.6266807,-94.479976
Martin CountyNC,Martin County,NC,35.8733053,-77.1485163
Martin CountyTX,Martin County,TX,32.2364722,-101.9804613
Martinsville CityVA,Martinsville City,VA,36.6915262,-79.8725386
Mason CountyIL,Mason County,IL,40.2271003,-89.9253233
Mason CountyKY,Mason County,KY,38.6194103,-83.8897057
Mason CountyMI,Mason County,MI,43.9664537,-86.4996546
Mason CountyTX,Mason County,TX,30.6556091,-99.2785583
Mason CountyWA,Mason County,WA,47.4251146,-123.1951376
Mason CountyWV,Mason County,WV,38.7553693,-81.9971108
Massac CountyIL,Massac County,IL,37.2478298,-88.7493998
Matagorda CountyTX,Matagorda County,TX,28.8204837,-95.9832577
Matanuska-Susitna BoroughAK,Matanuska-Susitna Borough,AK,62.2599347,-150.1729153
Mathews CountyVA,Mathews County,VA,37.3912302,-76.317414
Maui CountyHI,Maui County,HI,20.7983626,-156.3319253
Maunabo MunicipioPR,Maunabo Municipio,PR,18.0074438,-65.8993355
Maury CountyTN,Maury County,TN,35.6195242,-87.1422895
Maverick CountyTX,Maverick County,TX,28.7410473,-100.3497895
Mayagüez MunicipioPR,Mayagüez Municipio,PR,18.200345,-67.1179511
Mayes CountyOK,Mayes County,OK,36.2322429,-95.3102505
McClain CountyOK,McClain County,OK,35.0282316,-97.4814163
McCone CountyMT,McCone County,MT,47.4500913,-105.8810733
McCook CountySD,McCook County,SD,43.6310744,-97.3516558
McCormick CountySC,McCormick County,SC,33.9134577,-82.2934585
McCracken CountyKY,McCracken County,KY,37.0330607,-88.7108964
McCreary CountyKY,McCreary County,KY,36.6973499,-84.4802606
McCulloch CountyTX,McCulloch County,TX,31.2016122,-99.2785583
McCurtain CountyOK,McCurtain County,OK,34.1481711,-94.8105955
McDonald CountyMO,McDonald County,MO,36.617812,-94.315422
McDonough CountyIL,McDonough County,IL,40.3885122,-90.6773046
McDowell CountyNC,McDowell County,NC,35.6984405,-82.0842901
McDowell CountyVA,McDowell County,VA,37.3860467,-81.647344
McDowell CountyWV,McDowell County,WV,37.3860467,-81.647344
McDuffie CountyGA,McDuffie County,GA,33.5258626,-82.5185837
McHenry CountyIL,McHenry County,IL,42.3039993,-88.4016041
McHenry CountyND,McHenry County,ND,48.3814671,-100.7008406
McIntosh CountyGA,McIntosh County,GA,31.370281,-81.4343042
McIntosh CountyND,McIntosh County,ND,46.054323,-99.376592
McIntosh CountyOK,McIntosh County,OK,35.3466151,-95.6457951
McKean CountyPA,McKean County,PA,41.8133351,-78.4751945
McKenzie CountyND,McKenzie County,ND,47.7714179,-103.4122495
McKinley CountyNM,McKinley County,NM,35.7152472,-108.2377519
McLean CountyIL,McLean County,IL,40.5478429,-88.864698
McLean CountyKY,McLean County,KY,37.5644352,-87.2618328
McLean CountyND,McLean County,ND,47.6185079,-101.131122
McLennan CountyTX,McLennan County,TX,31.5182285,-97.179026
McLeod CountyMN,McLeod County,MN,44.8440016,-94.315422
McMinn CountyTN,McMinn County,TN,35.4037048,-84.6479124
McMullen CountyTX,McMullen County,TX,28.3102323,-98.5721016
McNairy CountyTN,McNairy County,TN,35.1183208,-88.556531
McPherson CountyKS,McPherson County,KS,38.3164433,-97.6982272
McPherson CountyND,McPherson County,ND,45.7555982,-99.2784129
McPherson CountyNE,McPherson County,NE,41.6222686,-101.0711758
McPherson CountySD,McPherson County,SD,45.7555982,-99.2784129
Meade CountyKS,Meade County,KS,37.2698449,-100.3497895
Meade CountyKY,Meade County,KY,37.9601502,-86.2158497
Meade CountySD,Meade County,SD,44.4415188,-102.6855069
Meagher CountyMT,Meagher County,MT,46.620195,-110.8848271
Mecklenburg CountyNC,Mecklenburg County,NC,35.2632655,-80.8543847
Mecklenburg CountyVA,Mecklenburg County,VA,36.6421724,-78.3842227
Mecosta CountyMI,Mecosta County,MI,43.6201025,-85.354965
Medina CountyOH,Medina County,OH,41.080133,-81.9534815
Medina CountyTX,Medina County,TX,29.2987871,-99.0128926
Meeker CountyMN,Meeker County,MN,45.1353179,-94.5150543
Meigs CountyOH,Meigs County,OH,39.0874307,-81.9971108
Meigs CountyTN,Meigs County,TN,35.519359,-84.7942091
Mellette CountySD,Mellette County,SD,43.5169738,-100.7097867
Menard CountyIL,Menard County,IL,40.0221361,-89.8130356
Menard CountyTX,Menard County,TX,30.9802428,-99.8124935
Mendocino CountyCA,Mendocino County,CA,39.5500194,-123.438353
Menifee CountyKY,Menifee County,KY,37.9335368,-83.634843
Menominee CountyMI,Menominee County,MI,45.4995277,-87.5746277
Menominee CountyWI,Menominee County,WI,45.0304745,-88.7477702
Merced CountyCA,Merced County,CA,37.2009788,-120.7120023
Mercer CountyIL,Mercer County,IL,41.1985037,-90.6773046
Mercer CountyKY,Mercer County,KY,37.8258603,-84.8984775
Mercer CountyMO,Mercer County,MO,40.4955493,-93.6623239
Mercer CountyND,Mercer County,ND,47.385292,-101.8628783
Mercer CountyNJ,Mercer County,NJ,40.3028533,-74.7337069
Mercer CountyOH,Mercer County,OH,40.5940548,-84.6897495
Mercer CountyPA,Mercer County,PA,41.2619821,-80.1875065
Mercer CountyWV,Mercer County,WV,37.4322638,-81.1196075
Meriwether CountyGA,Meriwether County,GA,33.0561282,-84.6897495
Merrick CountyNE,Merrick County,NE,41.2031926,-98.0028892
Merrimack CountyNH,Merrimack County,NH,43.2844846,-71.6673352
Mesa CountyCO,Mesa County,CO,38.9585381,-108.6175626
Metcalfe CountyKY,Metcalfe County,KY,37.0032438,-85.643487
Miami CountyIN,Miami County,IN,40.770099,-86.0529604
Miami CountyKS,Miami County,KS,38.6381689,-94.8105955
Miami CountyOH,Miami County,OH,40.081473,-84.1857115
Miami-Dade CountyFL,Miami-Dade County,FL,25.5516034,-80.6326916
Middlesex CountyCT,Middlesex County,CT,41.4698505,-72.4731529
Middlesex CountyMA,Middlesex County,MA,42.467206,-71.2874209
Middlesex CountyNJ,Middlesex County,NJ,40.4111363,-74.3587473
Middlesex CountyVA,Middlesex County,VA,37.6040106,-76.5257007
Midland CountyMI,Midland County,MI,43.5750978,-84.3542049
Midland CountyTX,Midland County,TX,31.8781368,-101.9804613
Mifflin CountyPA,Mifflin County,PA,40.652279,-77.6077865
Milam CountyTX,Milam County,TX,30.7983914,-97.0068393
Millard CountyUT,Millard County,UT,39.0611744,-113.1918021
Mille Lacs CountyMN,Mille Lacs County,MN,45.9228403,-93.6218744
Miller CountyAR,Miller County,AR,33.2899717,-93.8248241
Miller CountyGA,Miller County,GA,31.2008218,-84.7315563
Miller CountyMO,Miller County,MO,38.2081417,-92.3813621
Mills CountyIA,Mills County,IA,41.0624496,-95.6457951
Mills CountyTX,Mills County,TX,31.6137467,-98.5721016
Milwaukee CountyWI,Milwaukee County,WI,43.0724667,-87.6186379
Miner CountySD,Miner County,SD,44.0643951,-97.6982272
Mineral CountyCO,Mineral County,CO,37.6583677,-107.0067031
Mineral CountyMT,Mineral County,MT,47.1497031,-114.9626904
Mineral CountyNV,Mineral County,NV,38.4343464,-118.4863963
Mineral CountyWV,Mineral County,WV,39.4068988,-78.8835548
Mingo CountyWV,Mingo County,WV,37.7607801,-82.1713632
Minidoka CountyID,Minidoka County,ID,42.8409971,-113.5808126
Minnehaha CountySD,Minnehaha County,SD,43.6631787,-96.8350999
Missaukee CountyMI,Missaukee County,MI,44.366621,-85.023346
Mississippi CountyAR,Mississippi County,AR,35.8279728,-90.0746767
Mississippi CountyMO,Mississippi County,MO,36.8661576,-89.3226954
Missoula CountyMT,Missoula County,MT,47.0240503,-113.6869923
Mitchell CountyGA,Mitchell County,GA,31.2230067,-84.1857115
Mitchell CountyIA,Mitchell County,IA,43.3710702,-92.8577105
Mitchell CountyKS,Mitchell County,KS,39.443669,-98.2212979
Mitchell CountyNC,Mitchell County,NC,36.0277763,-82.1496049
Mitchell CountyTX,Mitchell County,TX,32.3360516,-100.8903099
Mobile CountyAL,Mobile County,AL,30.6082227,-88.2461183
Moca MunicipioPR,Moca Municipio,PR,18.3944552,-67.1135994
Modoc CountyCA,Modoc County,CA,41.4565165,-120.629366
Modoc CountyOR,Modoc County,OR,41.4565165,-120.629366
Moffat CountyCO,Moffat County,CO,40.6138379,-108.2377519
Mohave CountyAZ,Mohave County,AZ,35.2143346,-113.7632828
Moniteau CountyMO,Moniteau County,MO,38.5827118,-92.5792482
Monmouth CountyNJ,Monmouth County,NJ,40.2589455,-74.123996
Mono CountyCA,Mono County,CA,37.9218608,-118.9528645
Monona CountyIA,Monona County,IA,42.001594,-95.9832577
Monongalia CountyPA,Monongalia County,PA,39.6695849,-79.9640339
Monongalia CountyWV,Monongalia County,WV,39.6695849,-79.9640339
Monroe CountyAL,Monroe County,AL,31.5119068,-87.460397
Monroe CountyAR,Monroe County,AR,34.5918747,-91.135302
Monroe CountyFL,Monroe County,FL,25.2974483,-81.0754657
Monroe CountyGA,Monroe County,GA,32.9746846,-83.8897057
Monroe CountyIA,Monroe County,IA,41.0040981,-92.8577105
Monroe CountyIL,Monroe County,IL,38.2742526,-90.1869644
Monroe CountyIN,Monroe County,IN,39.1851445,-86.4996546
Monroe CountyKY,Monroe County,KY,36.7484915,-85.7256372
Monroe CountyMI,Monroe County,MI,41.9738893,-83.5070203
Monroe CountyMO,Monroe County,MO,39.5508815,-92.0665197
Monroe CountyMS,Monroe County,MS,33.8773585,-88.556531
Monroe CountyNY,Monroe County,NY,43.2841246,-77.7452081
Monroe CountyOH,Monroe County,OH,39.7199038,-81.0754657
Monroe CountyPA,Monroe County,PA,41.0458376,-75.2479061
Monroe CountyTN,Monroe County,TN,35.471793,-84.2278796
Monroe CountyWI,Monroe County,WI,43.9412045,-90.7532809
Monroe CountyWV,Monroe County,WV,37.5601958,-80.5882803
Montague CountyTX,Montague County,TX,33.6460993,-97.6982272
Montcalm CountyMI,Montcalm County,MI,43.3057341,-85.1894045
Monterey CountyCA,Monterey County,CA,36.6002236,-121.8947489
Montezuma CountyCO,Montezuma County,CO,37.3257517,-108.6175626
Montgomery CountyAL,Montgomery County,AL,32.2077447,-86.1751759
Montgomery CountyAR,Montgomery County,AR,34.5424074,-93.6623239
Montgomery CountyGA,Montgomery County,GA,32.1802095,-82.5185837
Montgomery CountyIA,Montgomery County,IA,41.0438839,-95.1849219
Montgomery CountyIL,Montgomery County,IL,39.2363688,-89.4742177
Montgomery CountyIN,Montgomery County,IN,40.019879,-86.8220341
Montgomery CountyKS,Montgomery County,KS,37.240253,-95.8142885
Montgomery CountyKY,Montgomery County,KY,38.0314578,-83.8897057
Montgomery CountyMD,Montgomery County,MD,39.1547426,-77.2405153
Montgomery CountyMO,Montgomery County,MO,38.9365599,-91.4821482
Montgomery CountyMS,Montgomery County,MS,33.5274427,-89.6251646
Montgomery CountyNC,Montgomery County,NC,35.3587922,-79.8744836
Montgomery CountyNY,Montgomery County,NY,42.915521,-74.4525627
Montgomery CountyOH,Montgomery County,OH,39.7620028,-84.3542049
Montgomery CountyPA,Montgomery County,PA,40.2290075,-75.3878525
Montgomery CountyTN,Montgomery County,TN,36.4960406,-87.460397
Montgomery CountyTX,Montgomery County,TX,30.3213482,-95.4777811
Montgomery CountyVA,Montgomery County,VA,37.2070304,-80.4103957
Montmorency CountyMI,Montmorency County,MI,45.0742794,-84.1403141
Montour CountyPA,Montour County,PA,41.0262303,-76.6874701
Montrose CountyCO,Montrose County,CO,38.468304,-108.1428669
Moody CountySD,Moody County,SD,43.9779303,-96.663812
Moore CountyNC,Moore County,NC,35.3674493,-79.4703885
Moore CountyTN,Moore County,TN,35.2700506,-86.357952
Moore CountyTX,Moore County,TX,35.8446761,-101.8891721
Mora CountyNM,Mora County,NM,35.927203,-104.9388853
Morehouse ParishLA,Morehouse Parish,LA,32.796224,-91.7538817
Morgan CountyAL,Morgan County,AL,34.4240875,-86.8621827
Morgan CountyCO,Morgan County,CO,40.2989226,-103.7289167
Morgan CountyGA,Morgan County,GA,33.5794186,-83.4643551
Morgan CountyIL,Morgan County,IL,39.7341219,-90.2244662
Morgan CountyIN,Morgan County,IN,39.5116809,-86.3376761
Morgan CountyKY,Morgan County,KY,37.9145713,-83.2934086
Morgan CountyMO,Morgan County,MO,38.3661344,-92.8577105
Morgan CountyOH,Morgan County,OH,39.6521907,-81.8224362
Morgan CountyTN,Morgan County,TN,36.1004285,-84.6479124
Morgan CountyUT,Morgan County,UT,41.0576176,-111.6183755
Morgan CountyWV,Morgan County,WV,39.5073361,-78.2476146
Morovis MunicipioPR,Morovis Municipio,PR,18.3258232,-66.4064361
Morrill CountyNE,Morrill County,NE,41.6552418,-102.989615
Morris CountyKS,Morris County,KS,38.7144832,-96.663812
Morris CountyNJ,Morris County,NJ,40.8336038,-74.5463282
Morris CountyTX,Morris County,TX,33.122847,-94.7691586
Morrison CountyMN,Morrison County,MN,45.9846475,-94.052545
Morrow CountyOH,Morrow County,OH,40.4930367,-82.820974
Morrow CountyOR,Morrow County,OR,45.4514124,-119.6243921
Morton CountyKS,Morton County,KS,37.1333387,-101.7979613
Morton CountyND,Morton County,ND,46.6683872,-101.1621736
Motley CountyTX,Motley County,TX,34.1280332,-100.7097867
Moultrie CountyIL,Moultrie County,IL,39.6020543,-88.5951751
Mountrail CountyND,Mountrail County,ND,48.2169859,-102.326433
Mower CountyMN,Mower County,MN,43.6824988,-92.6983868
MP,0,MP,#N/A,#N/A
Muhlenberg CountyKY,Muhlenberg County,KY,37.1772501,-87.1422895
Multnomah CountyOR,Multnomah County,OR,45.5145659,-122.5863212
Municipality of AnchorageAK,Municipality of Anchorage,AK,61.2175758,-149.8996785
Murray CountyGA,Murray County,GA,34.7928029,-84.7315563
